Heel 00

Hydrostatics for trim 4.0m by Stern

Curves



Tables




Trim -4.00 metres 
Heel 0.00 degrees 
   
Shell thickness 12.00000 mm 
Keel thickness 14.00000 mm 
Hog (+ve)/ Sag (-ve) 0.00000 metres 
Water density 1.02500 tonnes/cu.m 


All drafts are moulded

Hydrostatics


Trim Draft Displt LCB TCB VCB WPA LCF KML KMT BML BMT IL IT TPC MTC WSA 
(m) (m) (t) (m) (m) (m) (m^2) (m) (m) (m) (m) (m) (m^4) (m^4) (t/cm) (t-m/cm) (m^2) 

-4.00 4.21 4132.44 38.217 0.000 2.356 1096.82 39.949 131.799 6.760 129.443 4.404 521868.9 17754.3 11.24 63.15 1611.34 
-4.00 4.24 4166.19 38.231 0.000 2.372 1098.49 39.913 131.307 6.748 128.935 4.376 524067.5 17788.6 11.26 63.42 1617.55 
-4.00 4.27 4200.00 38.244 0.000 2.388 1100.14 39.879 130.813 6.738 128.425 4.350 526229.9 17822.9 11.28 63.68 1623.74 
                 
-4.00 4.30 4233.85 38.257 0.000 2.404 1101.77 39.845 130.318 6.727 127.914 4.323 528360.1 17857.1 11.29 63.94 1629.91 
-4.00 4.33 4267.75 38.269 0.000 2.420 1103.37 39.812 129.823 6.717 127.403 4.297 530460.9 17891.3 11.31 64.19 1636.07 
-4.00 4.36 4301.69 38.282 0.000 2.437 1104.96 39.780 129.329 6.708 126.892 4.271 532537.1 17925.4 11.33 64.45 1642.22 
-4.00 4.39 4335.70 38.293 0.000 2.453 1106.52 39.748 128.834 6.699 126.382 4.246 534587.7 17959.4 11.34 64.69 1648.36 
-4.00 4.42 4369.74 38.304 0.000 2.469 1108.07 39.717 128.340 6.690 125.871 4.221 536608.3 17993.5 11.36 64.94 1654.50 
                 
-4.00 4.45 4403.83 38.315 0.000 2.485 1109.62 39.686 127.849 6.681 125.364 4.196 538615.6 18028.2 11.37 65.18 1660.62 
